sample,genome,taxonomy,source
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_733,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_576,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_135,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae;Stopavirus;Pelagibacter phage HTVC011P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_464,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_509,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_343,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_268,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Elemovirus;Flavobacterium phage vB_FspP_elemoE_6-9C,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_187,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_335,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Carpasinavirus;Xanthomonas phage Carpasina,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_103,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae;Stopavirus;Pelagibacter phage HTVC011P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_46,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;NA;Synechococcus phage S-SRM01,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_583,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_490,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_489,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_182,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_203,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_396,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Elemovirus;Flavobacterium phage vB_FspP_elemoF_6-3D,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_717,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_253,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Prochlorococcus phage MED4-184,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_129,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Cyanophage MED4-117,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_128,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_360,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;NA;Synechococcus phage S-SRM01,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_342,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Bellamyvirus;Synechococcus phage Bellamy,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_741,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_386,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Elemovirus;Flavobacterium phage vB_FspP_elemoE_6-9C,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_166,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;NA;Synechococcus phage S-SRM01,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_420,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Galenevirus;Synechococcus phage metaG-MbCM1,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_394,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Llyrvirus;Synechococcus phage S-SKS1,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_222,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_611,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_58,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_498,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_74,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_107,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Nilusvirus;Synechococcus phage S-SM2,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_138,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_458,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_327,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Elemovirus;Flavobacterium phage vB_FspP_elemoE_6-9C,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_571,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_136,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pseudomonas phage vB_PaeM_PA5oct,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_591,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_154,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_205,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_683,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_407,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pseudomonas phage vB_PaeM_PA5oct,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_367,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_22,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_508,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_357,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Nilusvirus;Synechococcus phage S-SM2,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_174,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC008M,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_592,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_520,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Prochlorococcus phage MED4-184,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_665,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_234,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_94,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Nilusvirus;Synechococcus phage S-SM2,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_193,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_55,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Nilusvirus;Synechococcus phage S-SM2,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_456,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Kyanoviridae;Nilusvirus;Synechococcus phage S-SM2,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_723,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;Immutovirus;Flavobacterium phage vB_FspM_immuto_2-6A,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_370,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Pelagibacter phage HTVC010P,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_226,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_79,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_50,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;Puniceispirillum phage HMO-2011,NCBI RefSeq viral protein searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_12,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_519,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_399,Varidnaviria;Bamfordvirae;Nucleocytoviricota;NA;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_269,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_666,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_90,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_363,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_133,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_481,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_256,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_69,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_608,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_322,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_485,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_686,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_66,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_454,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_586,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_433,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_bin_10,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_169,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_49,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_bin_30,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_126,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_277,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_258,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_247,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_165,Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_308,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_336,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_86,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_217,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_11,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_299,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_170,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_214,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_81,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_14,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_361,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_664,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_168,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_67,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_246,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_708,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_23,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_460,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_547,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_681,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_552,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_271,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_113,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_536,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_304,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_104,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_400,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_194,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_423,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_82,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_544,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_85,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_204,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_601,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_236,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;Autographiviridae;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_63,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_747,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_504,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_198,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_436,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_163,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_151,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_4,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_bin_12,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_47,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_467,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_110,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_unbinned_715,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
ERR594364_contigs,ERR594364_contigs__vRhyme_bin_1,Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;NA;NA;NA;NA,marker VOG HMM searching
